epoch,train_mse,val_mse
1,0.015010408272145368,0.0050020448059865065
2,0.002543957532301041,0.0016375998684745883
3,0.0010902768891456719,0.001122456073531911
4,0.0008234285134878721,0.000758632744339505
5,0.000637745050577602,0.0006645583888448234
6,0.0005723414627330689,0.0006192319368335208
7,0.0005293261294557144,0.0006713551993016154
8,0.00048311657944092684,0.0005705860802986388
9,0.0004679904743372592,0.0006838413021121655
10,0.00046474444722358993,0.00052863200412943
11,0.0004442357475353573,0.0005207209516459355
12,0.00042938104211821663,0.00045936088023271654
13,0.00041765174546526396,0.00046815732428278294
14,0.0003843783502412003,0.00040300205258855354
15,0.0003650855861047199,0.000484887671548002
16,0.0003644808592374223,0.00040811910566257973
17,0.0003580779716685356,0.000385461216219776
18,0.0003453900840718739,0.0003708617817122309
19,0.00033777439128041605,0.0003788285302430121
20,0.00032727668298725295,0.00036347174365448974
21,0.00032731094643168035,0.0003617569797619757
22,0.0003236004766525487,0.00034026875237618844
23,0.00031666432980475493,0.00036220120678227694
24,0.00030539084370199515,0.0003316924093298674
25,0.00029097827943284454,0.00032926409908067136
26,0.0002899495970672837,0.0003243143221498617
27,0.0002766564158870703,0.0002838410136680449
28,0.0002644514051502887,0.00030370405546554754
29,0.00026826708310383966,0.0002989850280198058
30,0.0002568499102785103,0.00030619638545754095
31,0.0002456454035887469,0.00026545389189249684
32,0.00024106575695744445,0.0002611579311046479
33,0.00023420686233698184,0.0002798609169868512
34,0.00022936181302510604,0.00025469895650354784
35,0.00021866577228340448,0.00023538662982548799
36,0.00021724381132217887,0.00022163101135858244
37,0.00020730076885734484,0.0002845431778452269
38,0.00020078024782479688,0.00022320345681603817
39,0.00019552069599942316,0.00023406201334212035
40,0.0001883602855691101,0.00020619290315211872
41,0.0001863589018032346,0.0002072591800712079
42,0.00018497050129755936,0.00020276408852829087
43,0.00018203309840221968,0.00019638968555110267
44,0.00017641471496669206,0.00018806885700248512
45,0.0001745610771750863,0.0001853331025725516
46,0.00017229820557279,0.0001794913260974065
47,0.00016863284978777907,0.00017852400889105705
48,0.00017023674854499404,0.00017762464267434552
49,0.0001659710612279418,0.00016752285826500627
50,0.0001686382263920273,0.00017703901621937422
